label,Content
0,"Trusting God won't make a mountain smaller, but will make climbing easier. Do not ask Him for a lighter load, but ask Him for a stronger back. -09165145411 Learn to see everything as an experience that will make you a better person and lead you to realize that what you really need everyday is God. Have a great day ahead. May God bless you always. Stay safe! -09752938930"
0,"""I welcome the prompt action and disposition of the Sandiganbayan en banc on the request for recusal of the three justices who are hearing my case before the Fifth Division, as this means that my bail application, including the request for holiday furlough, can be resolved soon and decided upon without unwarranted delay,"" pahayag ni Estrada."
0,"""As chair of the Senate peace, reconciliation and unification committee, and as a senator from Mindanao, I am calling today for the creation of truth commission which will conduct a thorough and impartial probe on the massacre of more than 40 members of our elite Special Action Force Unit of the Philippine National Police in Mamasapano, Maguindanao. It will be a cruel injustice if the truth behind the incidents that led to their death is not uncovered,"" ani Guingona."
0,"""I appeal for a deeper public support and understanding of the role of the government peace panel in the realization of our goal of providing lasting and genuine peace in Mindanao, which for four decades suffered from all forms of insurgency and criminality,"" ani Drilon."
0,"NA-TRAUMA ang entertainment news reporter ng ABS-CBN na si Marie Lozano matapos maaksidente habang tumatawid sa isang kalsada sa Salcedo Village, Makati City. Ikinuwento ni Marie sa kanyang Instagram account ang nangyari at dito rin niya ibinahagi ang sama ng loob sa nakabangga sa kanya dahil sa halip na humingi ng dispensa sa kanya ay nanisi pa ito. Narito ang kabuuang kuwento ni Marie: ""I am so thankful to be alive and in one piece. I want to share a very traumatic experience that happened to me yesterday. ""As my best friend and I were beginning to cross a very quiet one way street in Salcedo village just after brunch, a car turning left that showed no signs of stopping hit me. ""I tried to run away like my friend did but at that time, the bumper had already hit my knee causing me to fall on my back and hit my head on the pavement. It all happened so fast, but in my mind everything happened in slow motion. ""My brain processed everything as it happened, anticipating the next thing. I was afraid the tire was going to run over my leg if the car didn't stop, and then I thought of my son just before I thought that I could die at that moment. ""It was then that the car stopped. A woman in her 60's wearing a medical mask came out, already in defense saying it was the fault of another car passing and that she didn't see us. ""At that point I was laying flat on my back in shock. She asked if I wanted her to take me to the hospital. After years of working as police reporter, I knew not to move a person who got injured in the head. I wanted to see if I could move my arms and my legs. ""The lady went back into her car with the engine still running and waited there. I was taken to the hospital for a scan. I was relieved that I had no broken bones, just possibly PTSD. ""Today I woke up, with bruises, a sore back, a painful neck (like I was strangled) but more than the physical manifestations... It is the mental trauma that will take time to heal. ""What I could not get over is the behavior of the woman who hit me, she seemed educated but she was just about self-preservation and denial. How can some people not have kindness and compassion? ""The passersby and witnesses that came to the rescue showed more care than this woman. One even told her she should apologize to me. ""How do we clear the streets of people like these? If she didn't kill me, I keep thinking she could hurt someone someday. ""I am thankful to have survived this in one piece and I know there are worse drivers out there. How do we save the streets from drivers like these?"""
1,"Share This Baylee Luciani (left), Screenshot of what Baylee caught on FaceTime (right)  The closest Baylee Luciani could get to her boyfriend, who’s attending college in Austin, was through video online chat. The couple had regular “dates” this way to bridge the 200-mile distance between them. However, the endearing arrangement quickly came to an end after his FaceTime was left on and caught something that left his girlfriend horrified.  Baylee had been discussing regular things with her boyfriend, Yale Gerstein, who was on the other side of the screen on an otherwise average evening. This video chat was not unlike all the others she had with Yale from his apartment near Austin Community College until the 19-year-old girlfriend heard some scratching sounds after FaceTime had been left on.  According to KRON , Baylee was mid-conversation with Yale when scratches at the door caught both of their attention and he got up from his bed, where the computer was, to see who was at his door. He barely turned the handle to open in when masked men entered the room and beat Yale’s face in and slammed him down on his bed while shoving a pistol in his cheek. The intruders didn’t seem to know or care that FaceTime was still on and Baylee’s face, seen in the corner, was watching everything, terrified that she was about to see her boyfriend murdered in front of her, as she watched him fight for his life.  Admitting that she first thought it was a joke, seconds later, she came to the horrid realization that he was being robbed and called her dad, who was at home with her in Dallas, into the room. “I was scared, because they were saying I’m going to blow your head off, I’m going to kill you,” Baylee explained along with the chilling feeling she got when the intruder finally realized the video chat was running and looked right at her in the camera. “I’m like wow… seriously watching an armed robbery happen to somebody that I care about,” she added. Screengrabs of intruder forcing Yale down on his bed while Baylee and her father watch on FaceTime in horror  With a clear view of at least one intruder’s face, Baylee began taking screenshots of the suspect in the act as she and her dad called the police to report what was going on. She got the pictures right in time since, seconds later, the intruder decided to disconnect the computer as he and the suspects took off with thousands of dollars worth of Yale’s music equipment. Although the boyfriend’s life was spared in the traumatizing ordeal for the two of them, he said that the thieves took something from him that can’t be replaced.  “I had just finished my first album as a solo artist,” Yale said. “That’s all lost,” since they took the recordings on the equipment, which means nothing to the thieves and everything to the victim. It’s not often that you hear of FaceTime solving crimes or potentially saving lives, which is what happened in this case. Although it was difficult to watch, Baylee, being there through technology, was an instrumental part in protecting Yale, who hopefully learned that he better take advantage of Texas’ great gun laws and arm himself with more than just a computer."
1,"0  Hillary Clinton has barely just lost the presidential election and here she is already getting herself caught in another one of her tangled web of lies.  The day after losing, a picture was posted of her taking her dog out for a walk. The picture was reportedly from a random hiker she ran into and showed that she was getting back to public life, or that’s what she wants you to believe.  Now, I want you to do me a favor and take a very close look at this picture, specifically the “hiker” she met. Memorize her face…  Got it? Okay, good.  Now what I am about to show you is something Hillary Clinton was hoping nobody else would notice. Tell me if the girl in the 2nd picture, taken in the 2000’s, reminds you of anyone:  Yeah, it is the EXACT SAME GIRL!  Her name is Margot Gerster and her mother just happens to be one of the big fundraisers for Hillary. That’s actually where the older picture was taken.  Wow! That doesn’t seem random at all, does it?  It looks like this is yet another example of Hillary Clinton trying to mislead the public using her inner circle and pretending like she doesn’t know them.  All I gotta say is, give it the Hell up, Hillary! You lost, nobody needs to see your “chance encounters” or other promotional propaganda anymore. This is exactly why Americans ended up hating you!  Oh well, I guess you really cannot teach an old dog new tricks. Well, in that case all that’s left to do is share this all across Facebook and the internet and expose yet another one of her Serial Lies! "
0,"If you want a glimpse into a presidential candidate’s governing style, take a look at his campaign. How does he build an organization? How does he manage personnel? How does he delegate responsibility? Does he value loyalty or honesty in advisers? It’s hardly conclusive, but how a candidate deals with these challenges says a lot about what they’d prioritize as president.  The presumptive Republican nominee has managed his campaign the way he manages his casinos or his realty TV program: haphazardly and with an unearned arrogance. Everything’s about the brand and non-sycophants are cast aside. Getting it right is far less important than being right. Thus, when prompted by advisers to dial down the rhetoric and think more about his long-term viability, Trump has resisted. He’s yet to understand how different a primary and a general election are, and he’s too cocksure to listen to anyone who tries to explain it.  Trump isn’t as stupid as he pretends to be, but his confidence seems to scale with his ignorance, and that’s a dangerous trait in a president, given how consequential each decision can be. As a candidate, a confident idiot can make a lot of noise and fool a lot of voters. But you can’t lead that way. As president, Trump would need the sober advice of serious professionals. Considering how little he understands about the job and the world, this is especially true in his case.  Based on the latest behind-the-scenes reports on Trump’s campaign (as well as his entire history in real estate and television), it’s unlikely he would govern with the humility and self-awareness required. The campaign has undergone several shake-ups in recent months, with key staffers like Corey Lewandowski being demoted to make way for veteran operatives like Paul Manafort. Trump’s approach has remained very much the same, however. Everyone he brings in bends to his will or is replaced by someone who does.  Things have gotten more chaotic in the last week or so, as Rick Wiley was fired as the campaign’s national political director. Wiley was known to assert himself in ways that alienated Trump and his loyalists. The Washington Post’s Sean Sullivan and Robert Costa summarized the broader situation over the weekend: “For the last two months, Donald Trump has presided over a political team riddled with turf wars, staff reshuffling and dueling power centers. But tensions are more than typical campaign chaos: They illustrate how Trump likes to run an organization, whether it’s a real estate venture or his presidential bid. Interviews with current and former Trump associates reveal an executive who is fond of promoting rivalries among subordinates, wary of delegating major decisions, scornful of convention and fiercely insistent on a culture of loyalty around him.” These are the management techniques of a brand-hustling magnate, not a president of the United States. Trump’s dictatorial approach works well on the campaign trail, but it’d be a disaster in office. A president has to persuade and compromise. The capacity to admit ignorance is equally important. Trump, by all accounts, has no interest in any of these things. Trump doesn’t know what he needs to know in order to be president, nor does he care that he doesn’t know. If his campaign is any indication, he’ll hire people to ensure his veil of ignorance is never cracked. That kind of megalomania is why Trump is who he is – it’s part of his outsized persona. It’s also the clearest indicator we have of the kind of president he’d be."
1,"In a previous article , I discussed stretching—namely, why stretching is important for the masculine man, and several stretches that you should use in your training to maximize your physical fitness. And while that advice is still valid, I neglected a very important concept in that first article: the techniques that detail how to stretch. I am not referring to a specific stretch or some sort of hypothetical “stretching mindset,” but rather a set of techniques that can be utilized for any stretch to increase ones flexibility immediately. But before I can discuss those, I have to discuss the incorrect way of stretching that many people still use. How Not To Stretch Many people believe that stretching is a literal act of forcing the muscles and connective tissue to stretch— avoid this at all costs ! First and foremost, as I have discussed previously in these pages, you should never apply any stretching pressure to the connective tissue. They evolved solely to “hold fast” and keep things in one piece, they should never be stretched at all! The muscles are the anatomical feature that stretches, as they evolved to do. When stretching, your body should always be positioned in a way where the connective tissues are stable and the muscles are moving. Even when you are positioned properly, no part of stretching should involve the athlete forcing his muscles to stretch, as that risks muscular tearing which is a nagging injury that never truly goes away. This is because the human body has naturally evolved what is referred to as the “ anti-stretch reflex ” to prevent muscular tearing-stretching the muscles increases in difficulty the farther and deeper the stretch is, and your body responds to this stress with pain. This is a biological sign telling you that if you go further you’ll be risking muscle tears, and should normally be a heeded warning. However, if you want to do advanced stretching (such as that nigh-impossible benchmark of fitness the splits), you will have to find a way to overcome this reflex without hurting yourself. And as luck would have it, there is!  Relax Into Stretching Reflexes can be overcome with gradual and repeated practice—just ask your friendly neighborhood hooker about how she overcame her gag reflex! Similarly, your anti-stretch reflex that keeps your “joints” (actually your muscles) stiff and immobile can be overcome with a few techniques. The most basic of these techniques is the one that I have had the best results with (as usual, the simple but difficult answer is usually the correct one), and that is the titular concept of “relaxing into a stretch”—with thanks to Pavel Tsatsouline for naming the concept. To use this technique, take an easy form of the stretch you want to do: using the splits as an example, you would do a seated groin stretch. Engage the stretch just to the point where you feel tension in the target muscle, and then…sit and wait.  Yes, paradoxically, relaxation is the key to increasing your physical fitness in this context. You are literally going to sit there and wait for your muscles to stop fighting the stretch—in other words, you’re going to exhaust your reflex until it stops being reflexive. This is not something that happens quickly—from my experience, it will take 5-10 minutes per stretch, so it is perfectly acceptable for you to get a book or watch TV while doing this. As a side note, this is literally the only time where it’s acceptable to have a visual distraction during exercise, in my opinion. As you might expect, once your muscles have relaxed and the pain has melted away, you can increase the stretch a little bit more, and hold it for another 10 minutes. Repeat this process until your muscles are in pain and you judge that you can’t go any further—this is a personal call that you will have to decide for yourself, as I can’t judge when your muscles are demanding you to stop. This technique can be utilized for any stretch, and in many cases will give you the progress that you so desire. However, there are other methods in the “Relax Into Stretch” family of exercises that can be utilized as well, such as meditation—mentally relaxing will lead to muscular relaxation. Or you can try “forced relaxation”, where you flex the muscle simultaneously while stretching, forcing the muscle to relax.  Either way you slice it, don’t just brute force your stretching, utilize these techniques for better results. Read More: Why Stretching Is Essential For The Body (With 6 Beginner Stretches To Get You Started)  "
0,The move would make it easier for the Trump administration to demolish the exchanges.
